id,category,body
11,alt.atheism,"Well, most hangings are very quick and, I imagine, painless. And, hangings and firing squads are allowed today, too. And, if these things were not considered cruel, then surely a medical execution (painless) would not be, either."
12,alt.atheism,"(Deletion) (Deletion) An universe it has created. By the way, can you tell me why it is less tyrannic to let one of one's own creatures do what it likes to others? By your definitions, your god has created Satan with full knowledge what would happen - including every choice of Satan. Can you explain us what Free Will is, and how it goes along with omniscience? Didn't your god know everything that would happen even before it created the world? Why is it concerned about being a tyrant when noone would care if everything was fine for them? That the whole idea comes from the possibility to abuse…"
13,alt.atheism,"You know, it just occurred to me today that this whole Christian thing can be blamed solely on Mary. So, she's married to Joseph. She gets knocked up. What do you think ol' Joe will do if he finds she's been getting around? So Mary comes up with this ridiculous story about God making her pregnant. Actually, it can't be all THAT ridiculous, considering the number of people that believe it. Anyway, she never tells anyone the truth, and even tells poor little Jesus that he's hot shit, the Son of God. Everyone else tells him this too, since they've bought Mary's story. So, what does Mary actually…"
14,alt.atheism,"I don't think we need to argue about this. Yes, but also many people who are not trying to make government recognize Christianity as the dominant religion in this country do no think the motto infringes upon the rights of others who do not share their beliefs. And actually, I think that the government already does recognize that Christianity is the dominant religion in this country. I mean, it is. Don't you realize/recognize this? This isn't to say that we are supposed to believe the teachings of Christianity, just that most people do. If you agree with me, then what are we discussing? No,…"
15,alt.atheism,I'd like this too... maybe you should post an answer key after a while? Nanci
16,alt.atheism,"Well, I've provided examples to show that the trend was general, and you (or others) have provided some counterexamples, mostly ones surrounding mating practices, etc. I don't think that these few cases are enough to disprove the general trend of natural morality. And, again, the mating practices need to be reexamined... No, but mating practices are a special case. I'll have to think about it some more. Indeed. But, while the natural system is objective, all objective systems are not the natural one. So, the terms can not be equated. The natural system is a subset of the objective ones. I…"
17,alt.atheism,"Perhaps we ought not to have supported a known genocidist? Provided him with weapon systems, tactical support, technology, etc. We made Suddam Hussein. What did Bush call him? Oh yes, an ally and a freind. --- "" I'd Cheat on Hillary Too."""
18,alt.atheism,"As I was created in the image of Gaea, therefore I must be the pinnacle of creation, She which Creates, She which Births, She which Continues. Or, to cut all the religious crap, I'm a woman, thanks. And it's sexism that started me on the road to atheism. -- Maddi Hausmann madhaus@netcom.com Centigram Communications Corp San Jose California 408/428-3553"
19,alt.atheism,"Please define ""morally straight"". And, don't even try saying that ""straight"", as it is used here, implies only hetersexual behavior. [ eg: ""straight"" as in the slang word opposite to ""gay"" ] This is alot like ""family values"". Everyone is talking about them, but misteriously, no one knows what they are. --- ""One thing that relates is among Navy men that get tatoos that say ""Mom"", because of the love of their mom. It makes for more virile men."" Bobby Mozumder ( snm6394@ultb.isc.rit.edu ) April 4, 1993"
20,alt.atheism,"I am not Mathew (Mantis) but any (successful) first year logic student will see that you are logically correct, the other poster is logically incorrect."
21,alt.atheism,"Yeah, right. So, let's see. If some guy writes a piece with a title that implies something is the case then it must be so, is that it? This supports nothing. I have no reason to believe that this is piece is anything other than another anti-Islamic slander job. I have no respect for titles, only for real content. I can look up this article if I want, true. But I can tell you BCCI was _not_ an Islamic bank. Seeing as I'm spending my time responding to propaganda (in responding to this little sub-thread) I really don't feel a deep need to do more than make statements to the effect that the…"
22,alt.atheism,"Sorry. Wrong. This is how banks got started in the first place. Sooner or later your father and his pals will lend money to someone who eventually goes broke, and then they will realise that they havn't been managing risk very well. Then they will ask themselves what it is that they need to quantify risk, and to persuade borrowers not to take on greater loans than they can carry. And since they don't all want the worry of doing the calculations and handling the money, some of them will specialise in that. Then they'll reinvent interest, but like good Muslims, they'll call it something else.…"
23,alt.atheism,"Good question. I'm sure some biologist could answer better than I, but animals brains are just set up differently. Animals *can* be trained, but if they're instincts serve them well, there is no reason to contradict them."
24,alt.atheism,"I don't feel that I'm preaching. I'm just trying to answer people's questions and talking about my religion, my beliefs. When it comes to what I post, I don't do it with the intent of converting anyone. I don't expect for the atheists in this newsgroup to take what I say with a grain of salt if they so wish. I just state what I beleve, they ask me how I believeit and why and we all go on. If that's preaching, then I'm soory and I'll get off the soapbox."
25,alt.atheism,"Could you explain what any of the above pertains to? Is this a position statement on something or typing practice? -- ""Satan and the Angels do not have freewill. They do what god tells them to do. """
26,alt.atheism,"Deletions... So, you consider the german poster's remark anti-semitic? Perhaps you imply that anyone in Germany who doesn't agree with israely policy in a nazi? Pray tell, how does it even qualify as ""casual anti-semitism""? If the term doesn't apply, why then bring it up? Your own bigotry is shining through. --"
27,alt.atheism,"No, Bobby. Stalin killed millions in the name of Socialism. Atheism was a characteristic of the Lenin-Stalin version of Socialism, nothing more. Another characteristic of Lenin-Stalin Socialism was the centralization of food distribution. Would you therefore say that Stalin and Lenin killed millions in the name of rationing bread? Of course not. In earlier posts you stated that true (Muslim) believers were incapable of evil. I suppose if you believe that, you could reason that no one has ever been killed in the name of religion. What a perfect world you live in, Bobby. Bobby is referring to a…"
28,alt.atheism,"My turn to jump in! :) I think you mean circular, not recursive, but that is semantics. Recursiveness has no problems, it is just horribly inefficient (just ask any assembly programmer.) The oft-quoted line that says people should be guaranteed life, liberty and the pursuit of happiness as inalienable rights, is a complete lie and deception, as the very authors of that line were in the process of proving. Liberty is never free, it is always purchased at some cost, almost always at the cost to another. Whos liberty is more inalienable? Similarly for right of life. When one person must die if…"
29,alt.atheism,"Why ""must""? --- "" Whatever promises that have been made can than be broken. """
30,alt.atheism,"+Last night, while watching the 2a.m. rebroadcast of Jerry Springer (a +talk show) I heard this Jewel of a thought from a 12 year old racist. +The focus of this show was on these kids and their hatred for the Jewish +religion, and why. [some stuff deleted] +Interesting (and scary) no? They went on to say how the Jews had +killed their god, and how in the end of time that all the races would +go to their homelands (of course, they would remain in America, which +is New Jeruselem, as it says in Gen 2??? (what another kid said) but +the rest of the races would go home) and then the great battle…"
31,alt.atheism,": Logic alert - argument from incredulity. Just because it is hard for you : to believe this doesn't mean that it isn't true. Liars can be very pursuasive : just look at Koresh that you yourself cite. This is whole basis of a great many here rejecting the Christian account of things. In the words of St. Madalyn Murrey-O'Hair, ""Face it folks, it's just silly ..."". Why is it okay to disbelieve because of your incredulity if you admit that it's a fallacy?"
32,alt.atheism,"[most of post deleted] There is an easy way out.... Post the flyers on the stall doors, but add at the bottom, in nice large capitals, EMERGENCY TOILET PAPER :)"
33,alt.atheism,"Sorry, I don't follow your reasoning. You are proposing to punish people *before* they commit a crime? What justification do you have for this?"
34,alt.atheism,"You and Mr. bobby really need to sit down and decide what exactly Islam *is* before posting here. According to 'Zlumber, one is NOT a muslim when one is doing evil. [ A muslin can do no evil ] According to him, one who does evil is suffering from ""temporary athiesm."" Now, would the members who claim to be ""Muslims"" get their stories straight???? -- ""Satan and the Angels do not have freewill. They do what god tells them to do. """
35,alt.atheism,"Bobby- A few posts ago you said that Lucifer had no free will. From the above it seems the JW believes the contrary. Are you talking about the same Lucifer? If so, can you suggest an experiment to determine which of you is wrong? Or do you claim that you are both right?"
36,alt.atheism,"Or, with no dictionary available, they could gain first hand knowledge by suffering through one of your posts. /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\ Bob Beauchaine bobbe@vice.ICO.TEK.COM They said that Queens could stay, they blew the Bronx away, and sank Manhattan out at sea."
37,alt.atheism,"Who cares what the fellow wrote anyway? I mean, it came from PSUVM, so how could it possibly have been of any importance? ===== (disperse smileys until no longer offended)"
38,alt.atheism,"^^^^^^^^^^^^^^^ a) I think that he has a rather witty .sig file. It sums up a great deal of atheistic thought (IMO) in one simple sentence. b) Atheism isn't an ""other religion""."
39,alt.atheism,"Well, it's obvious that you *don't* attempt, otherwise you would be aware that they *don't* all ""loudly [claim] to be the One True Christian"". I've tried to avoid using the phrase ""is/is not christian"" because of these ownership issues; instead, I've tried the phrase ""Nicene christianity"" in an attempt to identify the vast majority of ""christianity"" which has roughly similar viewpoints on the core theological issues. The JWs do not fall within this group and in fact espouse a position known as Arianism, which is rejected by all the nicene churches and virtually everyone else as well."
40,alt.atheism,"You have only shown that a vast majority ( if not all ) would agree to this. However, there is nothing against a subjective majority. In any event, I must challenge your assertion. I know many societies- heck, many US citizens- willing to trade freedom for ""security"". --- "" Whatever promises that have been made can than be broken. """
41,alt.atheism,"That's very interesting. I wonder, are women's reactions recorded after a frustrating night with a man? Is that considered to be important?"
42,alt.atheism,"You have done no such thing. An Islamic bank is a bank which operates according to the rules of Islam in regard to banking. This is done explicitly by the bank. This was not the case with BCCI. This is crap. BCCI was motivated by the same motives as other international banks, with perhaps an emphasis on dealing with outlaws and the intelligence services of various governments. Back to childish propaganda again. You really ought to get a life rather than wasting bandwith on such empty typing. There are thousands of Islamic banks operating throughout the world which no-one ever hears about. If…"
43,alt.atheism,Since when does atheism mean trashing other religions?There must be a God of inbreeding to which you are his only son.
44,alt.atheism,"And you know why this is? Because you've conveniently _defined_ a theist as someone who can do no wrong, and you've _defined_ people who do wrong as atheists. The above statement is circular (not to mention bigoting), and, as such, has no value."
45,alt.atheism,The latest news seems to be that Koresh will give himself up once he's finished writing a sequel to the Bible.
46,alt.atheism,"Good statement! Should we apply empirical measurements to define exact social morals? Should morals be based on social rules? On ancient religious doctrines? It seems there will *NEVER* be a common and single denominator for defining morals, and as such defining absolute and objective morals is doomed to fail as long as humans have this incredible talent of creative thinking. Cheers, Kent"
47,alt.atheism,"This isn't true. Many people are forced to use the ""automobile system."" I certainly don't use it by choice. If there were other ways of getting around, I'd do it. But I think that the Court system has been refined--over hundreds of years in the US, Britain, and other countries. We have tried to make it as fair as possible. Can it be made better (without removing the death penalty)? Besides, life imprisonment sounds like a fatal punishment to me."
48,alt.atheism,"If the first rule of humor is never having to say you're sorry then the second rule must be never having to explain yourself. Few things are worse that a joke explained. In spite of this, and because of requests for me to post my list o' nicknames, I must admit that no such list exists. It was simply a plot device, along with me being the keeper o' the list, to make the obvious play on the last name of Fuller and to advance the idea that such a list should be made. I assumed that the ol' timers would recognize it for what it is. Nevertheless, how about a list o' nicknames for alt.atheism…"
49,alt.atheism,"Hehehe, so you say, but this objective morality somehere tells you that this is not the case, and you don't know all the rules of such transcendental game systems... Cheers, Kent"
50,alt.atheism,"[rest deleted...] You were a liberal arts major, weren'tcha? Guess you never saw that photo of the smallest logo in the world-- ""IBM"" made with noble gas atoms (krypton? xenon? I forget the specifics). Atoms, trees, electrons are all independently observable and verifiable. Morals aren't. See the difference? Tep"
51,alt.atheism,"It sounds to me like it's just SCREAMING OUT for parody. Give a copy to your friendly neighbourhood SubGenius preacher; with luck, he'll run it through the mental mincer and hand you back an outrageously offensive and gut-bustingly funny parody you can paste over the originals. I can see it now: The Stool Scroll Thoughts on Religion, Spirituality, and Matters of the Colon (You can use this text to wipe)"
52,alt.atheism,"Archive-name: atheism/overview Alt-atheism-archive-name: overview Last-modified: 5 April 1993 Version: 1.2 Overview Welcome to alt.atheism and alt.atheism.moderated. This is the first in a series of regular postings aimed at new readers of the newsgroups. Many groups of a 'controversial' nature have noticed that new readers often come up with the same questions, mis-statements or misconceptions and post them to the net. In addition, people often request information which has been posted time and time again. In order to try and cut down on this, the alt.atheism groups have a series of five…"
53,alt.atheism,"Gosh, Gregg. I'm pretty good a reading between the lines, but you've given me precious little to work with in this refutation. Could you maybe flesh it out just a bit? Or did I miss the full grandeur of it's content by virtue of my blinding atheism? /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\ Bob Beauchaine bobbe@vice.ICO.TEK.COM They said that Queens could stay, they blew the Bronx away, and sank Manhattan out at sea."
54,alt.atheism,"True, all you need to define is one statement that defined one polarity, and all the other states are considered the other polarity. Then again what is the meaning of nil, false or true :-) ? Cheers, Kent"
55,alt.atheism,"Please define the words ""shatim"" and ""fasad"" before you use them again."
56,alt.atheism,"The ""`little' things"" above were in reference to Germany, clearly. People said that there were similar things in Germany, but no one could name any. They said that these were things that everyone should know, and that they weren't going to waste their time repeating them. Sounds to me like no one knew, either. I looked in some books, but to no avail. It has *caused* problems? Again, no one has shown that things were better before the motto, or that they'd likely be better after. I don't think the motto initiates any sort of harassment. Harassment will occur whether or not the motto is present."
57,alt.atheism,"Is it just me, or has this part gotten beyond useful? Gregg is not, as I understand his posts, giving any support to the bounty on Rushdie's life. If that's correct, end of one point... Gregg is using the concept of legal in a way most Westerners don't accept. His comments about Islamic Law I think make a great deal of sense to him, and are even making a _little_ sense to me now - if a person is a member of a group (religion or whatever) they bind themselves to follow the ways of the group within the bounds of what the group requires as a minimum. The big bone of contention here that I'm…"
58,alt.atheism,"Why are only those people in favor of the system to blame. If society accepts such a system, then each member of society is to blame when an innocent person gets executed. Those that are not in favor should work to convince others. And, most members of our society have accepted the blame--they've considered the risk to be acceptable. Similarly, every person who drives must accept the blame for fatal traffic accidents. This is something that is surely going to happen when so many people are driving. It is all a question of what risk is acceptable. It is much more likely that an innocent person…"
59,alt.atheism,"Do you honestly hold to that tripe Charley? For a start there are enough current versions of the Bible to make comparisons to show that what you write above is utter garbage. Witness JW, Mormon, Catholic, Anglican, and Greek Orthodox Bibles. But to really convince you I'd have to take you to a good old library. In our local library we had a 1804 King James which I compared to a brand new, hot of God's tongue Good News Bible. Genesis was almost unrecognisable, many of the discrepencies between the four gospels had been edited from the Good News Bible. In fact the God of Good News was a much…"
60,alt.atheism,"It's about time. Why do atheists spend so much time paying attention to the bible, anyway? Face it, there are better things to do with your life! I used to chuckle and snort over the silliness in that book and the absurdity of people believing in it as truth, etc. Why do we spend so little time on the Mayan religion, or the Native Americans? Heck, the Native Americans have signifigantly more interesting myths. Also, what about the Egyptians. I think we pay so much attention to Christianity because we accept it as a _religion_ and not a mythology, which I find more accurate. I try to be…"
61,alt.atheism,": }Xenophobia, both *de facto* and *de jure* as implemented : }in legal systems, is widespread, while the Bible, : }although not 100% egalitarian, specifically preaches : }kindness to the stranger, and emphasizes in the Book : }of Ruth, that a foreigner can join the nation and : }give rise to one of the great heroes of the nation. : : Clearly better than the alternative, but as an American what strikes : me as strange about this story is that it should have even been : considered an issue. Jim, There are a couple of things about your post and others in this thread that are a little confusing.…"
62,alt.atheism,"[deletions] If this is grounded firmly in Islam, as you claim, then you have just exposed Islam as the grounds for terrorism, plain and simple. Whether you like it or not, whether Rushdie acted like a total jerk or not, there is no acceptable civilized basis for putting someone in fear of their life for words. It simply does not matter whether his underlying motive was to find the worst possible way he could to insult Muslims and their beliefs, got that? You do not threaten the life of someone for words - when you do, you quite simply admit the backruptcy of your position. If you support…"
63,alt.atheism,": >We could start with those posters who annoy us the most, like Bobby or : >Bill. : Your wish is my command. : Bill ""Shit-stirrer"" Connor : Bobby ""Circular"" Mozumder I'm not sure my new nom d'net is exactly appropriate, but it comes very close. Considering what I have to wade through before I make one of my insightful, dead-on-the-money repsonses, I have to agree that something's getting stirred up. I would like to believe my characterization of what I respond to would be kinder though, but if you insist ... I am also surprised to find that I have offended anyone, but in some cases it's…"
64,alt.atheism,"No. The christians were leary of having an atheist spokesman (seems so clandestine, and all that), so they had him removed. Of course, Keith is busy explaining to his fellow captives how he isn't really being persecuted, since (after all) they *are* feeding him, and any resistance on his part would only be viewed as trouble making. I understand he did make a bit of a fuss when they tatooed ""In God We Trust"" on his forehead, though. /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\ Bob Beauchaine bobbe@vice.ICO.TEK.COM They said that Queens could stay, they blew the Bronx…"
65,alt.atheism,"Apparently not. In response to his claim that it ""terrifies"" gay people not to be able to ""indoctrinate children to our lifestyle"" (or words to that effect), I sent Roger a very calm, carefully-written, detailed letter explaining simply why the BSA policy does, indeed terrify me. I did not use inflammatory language and left myself extremely open for an answer. Thus far, I have not received an answer. I can conclude only that Roger considers his position either indefensible or simply not worth defending. In fact, that's exactly the point: people can control their behavior. Because of that…"
66,alt.atheism,[Dan's article deleted] I found the same add in our local Sunday newspaper. The add was placed in the ..... cartoon section! The perfect place for it ! :-)
67,alt.atheism,"Seconded. I cycle to work each day, and if we could just get those damned cars and their cretinous drivers off the road, it would be a lot more fun."
68,alt.atheism,": Regardless of people's hidden motivations, the stated reasons for many : wars include religion. Of course you can always claim that the REAL : reason was economics, politics, ethnic strife, or whatever. But the : fact remains that the justification for many wars has been to conquer : the heathens. : If you want to say, for instance, that economics was the chief cause : of the Crusades, you could certainly make that point. But someone : could come along and demonstrate that it was REALLY something else, in : the same manner you show that it was REALLY not religion. You could : in this manner…"
69,alt.atheism,": I wonder how many atheists out there care to speculate on the face of : the world if atheists were the majority rather than the minority group : of the population. I've been thinking about this every now and then since I cut my ties with Christianity. It is surprising to note that a large majority of people, at least in Finland, seem to be apatheists - even though 90 % of the population are members of the Lutheran Church of Finland, religious people are actually a minority. Could it be possible that many people believe in god ""just in case""? It seems people do not want to seek the truth;…"
70,alt.atheism,"[reply to frank@D012S658.uucp (Frank O'Dwyer)] From A Dictionary of Philosophy, by Anthony Flew: ""Objectivism: The belief that there are certain moral truths that would remain true whatever anyone or everyone thought or desired. For instance, 'No one should ever deliberately inflict pain on another simply to take pleasure in his suffering' might be thought of as a plausible example. Even in a world of sadists who all rejected it, the contention remains true, just as '5 + 7 = 12' remains correct even if there is no one left to count. The problem for the objectivist is to determine the status…"
71,alt.atheism,": >EVER HEAR OF : >BAPTISM AT BIRTH? If that isn't preying on the young, I don't know what : >is... : > : RB> : RB> No, that's praying on the young. Preying on the young comes : RB> later, when the bright eyed little altar boy finds out what the : RB> priest really wears under that chasible. Does this statement further the atheist cause in some way, surely it's not intended as wit ..."
72,alt.atheism,"Hi Adda, Most Bible scholars agree that there was one copy of each book at a certain time -- the time when the author wrote it. Unfortunately, like all works from this time period and earlier, all that exists today are copies. There are parts of books, scraps really, that date from around the mid second century (A.D. 130+). There are some complete books, letters, etc. from the middle third century. The first complete collection of the New Testament dates from the early 4th century (A.D. 325). Throughout this period are writings of various early church fathers/leaders who quoted various…"
73,alt.atheism,": Exodus 21:22-25: : 22 And if men struggle with each other and strike a woman with : child so that she has a miscarriage, yet there is no further : injury, he shall surely be fined as the woman's husband may : demand of him; and he shall pay as the judges decide. : 23 But if there is any further injury, then you shall appoint : as a penalty life for life, : 24 eye for eye, tooth for tooth, hand for hand, foot for foot, : 25 burn for burn, wound for wound, bruise for bruise. : The most straightforward interpretation of these verses is that if : men in a fight strike a woman and cause her to…"
74,alt.atheism,"We only need to ask the question: what did the founding fathers consider cruel and unusual punishment? Hanging? Hanging there slowing being strangled would be very painful, both physically and psychologicall, I imagine. Firing squad ? [ note: not a clean way to die back in those days ], etc. All would be considered cruel under your definition. All were allowed under the constitution by the founding fathers. --- "" Whatever promises that have been made can than be broken. """
75,alt.atheism,"The only way out seems to be death. --- "" I'd Cheat on Hillary Too."""
76,alt.atheism,"But you haven't taken into the account of propoganda. Remember, if you asked Germans before WWII if the Jews shoudl be slaughtered, they would probably answer no, but, after the propoganda machine rolled through, at least some were able to tolerate it. You see, it only takes a small group of fanatics to whip up a general frenzy. Well, they haven't managed to outlaw abortion due to the possible objectivity of the courts. But, they have managed to create quite a few problems for people that wanted to have an abortion. They could create similar problems for us. And, it could be worse. They can…"
77,alt.atheism,"Welcome aboard! (I think you just answered your own question, there) Most responses were against his postings that spouted the fact that all atheists are fools/evil for not seeing how peachy Islam is. I would leave the pro/con arguments of Islam to Fred Rice, who is more level headed and seems to know more on the subject, anyway. How did you know I was going to welcome you abord?!?"
78,alt.atheism,"Are you making a meta-argument here? In any case, you are wrong. Think of those invisible pink unicorns. I was responding to the ""historical accuracy... of Biblical claims"", of which the existence of Jesus is only one, and one that was not even mentioned in my post. Wrong. That was exactly the issue. Go back and read the context included within my post, and you'll see what I mean. Now that I've done you the kindness of responding to your questions, please do the same for me. Answer the Charley Challenges. Your claim that they are of the ""did not!/ did so!"" variety is a dishonest dodge that I…"
79,alt.atheism,"Leonard, I'll give you an example of this.... My father recently bought a business, the business price was 150,000 pounds and my father approached the people in the community for help, he raised 60,000 pounds in interest free loans from friends and relatives and Muslims he knew, 50,000 had cash and the rest he got a business loan, after paying off the Muslim lenders many of them helped him with further loans to help him clear the bank debt and save him from further intrest, this is an example of a Muslim community helping one another, why did they help because of their common identity as…"
80,alt.atheism,"}>For several years I've periodically asked Charley Wingate to explain this }>mythical alternative to rationality which he propounds so enthusiastically }>when he pops up every few months. His reluctance to explain indicates to me }>that it's not so hot. } }I've said enough times that there is no ""alternative"" that should think you }might have caught on by now. And there is no ""alternative"", but the point }is, ""rationality"" isn't an alternative either. The problems of metaphysical }and religious knowledge are unsolvable-- or I should say, humans cannot }solve them. If there is truly no…"
81,alt.atheism,I hope you're not going to flame him. Please give him the same coutesy you' ve given me.
82,alt.atheism,I agree totally with you! Amen! You stated it better and in less world than I did.
83,alt.atheism,"Read the FAQ first, watch the list fr some weeks, and come back then."
84,alt.atheism,It only falls apart if you attempt to apply it. This doesn't mean that an objective system can't exist. It just means that one cannot be implemented.
85,alt.atheism,"As to what that headpiece is.... (by chort@crl.nmsu.edu) SOURCE: AP NEWSWIRE The Vatican, Home Of Genetic Misfits? Michael A. Gillow, noted geneticist, has revealed some unusual data after working undercover in the Vatican for the past 18 years. ""The Popehat(tm) is actually an advanced bone spur."", reveals Gillow in his groundshaking report. Gillow, who had secretly studied the innermost workings of the Vatican since returning from Vietnam in a wheel chair, first approached the scientific community with his theory in the late 1950's. ""The whole hat thing, that was just a cover up. The Vatican…"
86,alt.atheism,"""So after 1000 years of sightseeing and roaming around its ok to come back, kill Palastinians, and get their land back, right?"" Yes, that's casual antisemitism. I can think of plenty of ways to criticize Israeli policy without insulting Jews or Jewish history. Can't you?"
87,alt.atheism,"The traditions of the church hold that all the ""apostles"" (meaning the 11 surviving disciples, Matthias, Barnabas and Paul) were martyred, except for John. ""Tradition"" should be understood to read ""early church writings other than the bible and heteroorthodox scriptures""."
88,alt.atheism,"##I strongly suggest that you look up a book called THE BIBLE, THE QURAN, AND ##SCIENCE by Maurice Baucaille, a French surgeon. It is not comprehensive, ##but, it is well researched. I imagine your library has it or can get it ##for you through interlibrary loan. ## I shall try to get hold of it (when I have time to read of course :-) ##In short, Dr Baucaille began investigating the Bible because of pre- ##ceived scientific inaccuracies and inconsistencies. He assumed that ##some of the problems may have been caused by poor translations in by- ##gone days. So, he read what he could find in…"
89,alt.atheism,"Oh? What is wrong with *this* motto, now? If you wouldn't approve of even that one, I am beginning to think that you just have something against mottos in general. What do you think of ""E plurbis unum?"""
90,alt.atheism,"I disagree: every proposition needs a certain amount of evidence and support, before one can believe it. There are a miriad of factors for each individual. As we are all different, we quite obviously require different levels of evidence. As one pointed out, one's history is important. While in FUSSR, one may not believe a comrade who states that he owns five pairs of blue jeans. One would need more evidence, than if one lived in the United States. The only time such a statement here would raise an eyebrow in the US, is if the individual always wear business suits, etc. The degree of the…"
91,alt.atheism,"[my previous posting deleted] The poster casually trashed two thousand years of Jewish history, and Ken replied that there had previously been people like him in Germany. That's right. There have been. There have also been people who were formally Nazis. But the Nazi party would have gone nowhere without the active and tacit support of the ordinary man in the street who behaved as though casual anti-semitism was perfectly acceptable. Now what exactly don't you understand about what I wrote, and why don't you see what it has to do with the matter at hand?"
92,alt.atheism,I did not claim that our system was objective.
93,alt.atheism,"Yesterday, I got the chance to hear Kurt Vonnegut speak at the University of New Hampshire. Vonnegut succeeded Isaac Asimov as the (honorary?) head of the American Humanist Association. (Vonnegut is an atheist, and so was Asimov) Before Asimov's funeral, Vonnegut stood up and said about Asimov, ""He's in heaven now,"" which ignited uproarious laughter in the room. (from the people he was speaking to around the time of the funeral) ""It's the funniest thing I could have possibly said to a room full of humanists,"" Vonnegut said at yesterday's lecture. If Vonnegut comes to speak at your university,…"
